Taxon,Specimen_No,TL_cm,Mass_kg,SVL_cm,HW_cm
Alligator_mississippiensis1,B172/B173_(13-1),213,47.4,109,19.36
Alligator_mississippiensis2,B190/B189_(B18-1),248,71.1,124,21.68
Alligator_mississippiensis3,B086/B087_(10-1),236.1,74.4,118.2,21.9
Alligator_mississippiensis4,B211/C428_(51-1),255.5,99.4,130,23
Alligator_mississippiensis5,B135/B134_(45-1),343,233.6,176,32.31
Alligator_mississippiensis6,B091_(9-1),287,143.6,150.8,30.8
Alligator_mississippiensis7,B194/B193_(54-1)_(Bobtailmissing_4whorls_323.5),,177.6,156.5,28.39
Alligator_mississippiensis8,LRB_130_RRB_131_(42-1),338,225.9,174,30.97
Alligator_mississippiensis9,B177_(Hercules)(12-1),371.5,296.7,189,33.8
Alligator_mississippiensis10,Am_47-1,322.5,175.7,167,
Alligator_mississippiensis11,Am_46-1,307,156.8,168,
Alligator_mississippiensis12,Am_50-1,246,79,123,
Alligator_mississippiensis13,Am_49-1,293.5,140.6,145,
Alligator_mississippiensis14,Am_55-1,285,128.6,147,
Alligator_mississippiensis15,AM_11-1,240.5,75.2,122,
Alligator_sinensis1,86053_(Bobbed_14_whorls_141_),,11.8,74,12.6
Alligator_sinensis2,95074,139.5,13.1,74.3,12
Alligator_sinensis3,88214,154,14.73,75.5,13
Alligator_sinensis4,86052,155,14.6,81,13.8
Caiman_crocodilus1,"No_#_(missing_foot)_(Bobbed_12_whorls,_141)",,17.5,82,14.8
Caiman_crocodilus2,862,166,19,94,14.8
Caiman_crocodilus3,91065_(Bobbed_9_whorls_144),,19.2,87.5,14
Caiman_crocodilus4,96054_(Bobtail_13_whorls_164),,25.27,98,14
Caiman_latirostris1,89125_(Cl-2)_(Bobtail_15_whorls_160),,16.1,86.5,16.5
Caiman_latirostris2,none,176.8,32.3,96.5,16.98
Caiman_latirostris3,Cl-091-037-371,167.5,45,89,15
Caiman_latirostris4,Cl-062608,168,20.4,88,15
Caiman_latirostris5,Cl-040-099-524,156.5,35,81,14
Caiman_yacare1,89037_(Bobtail_8_whorls_133),,17,79,12.5
Caiman_yacare2,89039,162,17.9,83,14
Caiman_yacare3,89038_(Bobbed_8_whorls_148),,19,91,14
Caiman_yacare4,CY-2_040295532_(__bobtail_9_whorls_137.2),,12.2,77.4,
Caiman_yacare5,96028_(Bobbed_12_whorl__152.5),,22.7,88.5,13.3
Crocodylus_acutus1,A03048,270,100,150,24
Crocodylus_acutus2,96051,317.5,163.64,168,30
Crocodylus_cataphractus1,91272,231.1,55.5,126.37,22.17
Crocodylus_cataphractus2,865AVID,262,95.3,146,25.4
Crocodylus_cataphractus3,62806_(Bobbed_10_whorl_221),,49.9,129,18.5
Crocodylus_intermedius1,B203/204_(knipped_tail_310),,182.2,171,26.24
Crocodylus_johnstoni1,CJ-8,133.5,7.06,73,9.8
Crocodylus_johnstoni2,CJ-6,147,10.73,83,11
Crocodylus_johnstoni3,none_(16-1),158,13.8,90.6,14.25
Crocodylus_johnstoni4,C321_(CJ-2),182,23.7,102,17.99
Crocodylus_johnstoni5,C320_(CJ3),215,43,115.5,18.24
Crocodylus_mindorensis1,91268,244.4,68.82,125,20.5
Crocodylus_moreletti1,99009,284,110,154,28
Crocodylus_niloticus1,99014,261,86.09,134,23
Crocodylus_niloticus2,93220,239.5,86.5,131,20
Crocodylus_novaequineae1,A05013_,290.5,123,149.5,25
Crocodylus_novaequineae2,97041,315,185.95,154,30
Crocodylus_palustris1,91284,332,206.9,172,33
Crocodylus_porosus1,CP_15,202,36.27,117.5,14
Crocodylus_porosus2,CP-25,299,106,160.5,24
Crocodylus_porosus3,Cp-26,357,168.5,184.5,30
Crocodylus_porosus4,"CP-22_(Bobtail_457.5,10_whorls)",,447,250,38
Crocodylus_porosus5,CP-24,459,495,232,36.5
Crocodylus_porosus6,CP-23,451,531,243,40
Crocodylus_porosus7,CP-17-st_aug,297.5,119.9,152,27.14
Crocodylus_rhombifer1,91300,186.5,29.5,98.5,15.5
Crocodylus_rhombifer2,89033,209,63,111.5,17.7
Crocodylus_rhombifer3,86057,246.2,64.82,132,22
Crocodylus_siamensis1,96078,212,39.5,108.8,18.7
Crocodylus_siamensis2,95021_(Bobbtail_12_whorls__265),,80,143,25
Crocodylus_siamensis3,91273,263,87.45,139,25
Gavialis_gangeticus1,91307,318,102.9,178,18
Gavialis_gangeticus2,91308,333.5,120.73,183,20
Melanosuchus_niger1,92042_(bobtail_19_whorls__204),,31.25,102.5,15.3
Melanosuchus_niger2,"92041_(Bobtail_14_whorls_,_229.5)",,43.4,118.7,17.3
Melanosuchus_niger3,91226,303.5,103.45,146.5,24
Osteolaemus_tetraspis1,99004,124,9.4,69.3,11.5
Osteolaemus_tetraspis2,99001,143,14.1,81.7,13
Osteolaemus_tetraspis3,99002,146,15.6,82,13.7
Osteolaemus_tetraspis4,O-2__94004,139,12.8,78,12.5
Osteolaemus_tetraspis5,96079,182.5,33.8,102,18
Paleosuchus_palpebrosus1,93069,133,11.9,72.5,11
Paleosuchus_palpebrosus2,A02002_(Bobbed_13_whorler_132.5),,12.41,77,11
Paleosuchus_palpebrosus3,93064_(Bobbed_11_whorls_129.5_),,13.6,76,12.3
Paleosuchus_trigonatus1,87028,143,18.54,84.5,13
Paleosuchus_trigonatus2,A04031,156,19.1,89.4,15
Paleosuchus_trigonatus3,85028_(Bobtail_11whorls__160_),,28,99.9,16.4
Tomistoma_schlegelii1,91292_(Bobtail_13_whorls_263),,79.3,151.5,23
Tomistoma_schlegelii2,A01020,289.5,90.8,151,21
Tomistoma_schlegelii3,91283,404.5,255,212.5,34
