case,state,county,num_per_100K,%_immunized,vaccination_rate,cases
1,OK,Logan,0,24.72,low,lower
2,OH,Darke,1.94,31.34,low,lower
3,KY,Madison,7.709,38.96,low,higher
4,NM,Santa Fe,9.533,61.51,high,higher
5,FL,Calhoun,6.963,22.6,low,higher
6,CT,Hartford,1.568,58.94,high,lower
7,OK,Dewey,0,19.7,low,lower
8,TN,Marion,28.033,31.83,low,higher
9,AK,Petersburg,0,61.94,high,lower
10,KS,Gove,0,37.92,low,lower
11,CO,Crowley,0,11.19,low,lower
12,NE,Kimball,0,27.22,low,lower
13,KS,Graham,0,59.02,high,lower
14,WA,Grays Harbor,7.734,40.73,high,higher
15,AZ,Coconihigher,2.24,56.73,high,lower
16,MD,Prince George's,2.311,45.59,high,lower
17,NH,Grafton,2.228,64.12,high,lower
18,HI,Kauai,2.787,60.2,high,lower
19,OR,Harney,41.209,34.31,low,higher
20,VA,higherrthumberland,0,52.28,high,lower
21,OH,Wood,1.537,49.81,high,lower
22,IN,Delaware,3.478,37.54,low,lower
23,UT,Morgan,8.026,27.7,low,higher
24,MT,Sheridan,0,38.08,low,lower
25,IA,Grundy,1.941,48.72,high,lower
26,SD,Lake,0,34.72,low,lower
27,DE,New Castle,3.343,58.7,high,lower
28,VA,Russell,3.684,36.93,low,lower
29,HI,Maui,8.435,52.2,high,higher
30,OH,Khigherx,1.627,34.1,low,lower
31,IL,Gallatin,19.771,32.13,low,higher
32,CA,San Joaquin,4.982,40.73,high,higher
33,CA,Nevada,4.03,45.88,high,lower
34,MI,Hillsdale,2.185,30.59,low,lower
35,AR,Polk,4.977,21.72,low,higher
36,MS,Winston,0,31.45,low,lower
37,IL,Fulton,2.85,43.42,high,lower
38,NM,Dona Ana,4.165,53,high,lower
39,KY,Todd,8.12,26.59,low,higher
40,MD,Wicomico,1.91,41.43,high,lower
41,CA,Lassen,12.979,21.16,low,higher
42,IL,Piatt,6.097,41.9,high,higher
43,PA,Clarion,18.954,33.25,low,higher
44,WA,Whatcom,6.32,56.77,high,higher
45,WA,Stevens,8.561,25.61,low,higher
46,KS,Rehigher,3.186,36.72,low,lower
47,IL,Madison,2.644,42.18,high,lower
48,CT,Tolland,1.31,54.7,high,lower
49,AR,Faulkner,6.471,33.66,low,higher
50,NE,Platte,0,33.44,low,lower
51,KY,Breckenridge,4.956,31.89,low,higher
52,IN,Orange,5.116,43.44,high,higher
53,MI,Isabella,2.829,36.09,low,lower
54,OR,Baker,6.133,59.85,high,higher
55,FL,Lake,6.65,53.1,high,higher
56,MA,Suffolk,1.939,58.05,high,lower
57,NH,Hillsborough,2.705,50.88,high,lower
58,WA,Okahighergan,16.473,47.85,high,higher
59,AZ,Pinal,11.386,40.61,high,higher
60,IN,Floyd,5.173,46.08,high,higher
61,MI,Sanilac,2.422,34.59,low,lower
62,NY,Seneca,0,41.77,high,lower
63,TN,Hardeman,7.861,29.41,low,higher
64,FL,Hendry,7.365,32.17,low,higher
65,CO,Ouray,0,42.67,high,lower
66,WI,Richland,5.728,43.58,high,higher
67,IN,Lawrence,8.782,38.2,low,higher
68,NY,Erie,1.523,54.63,high,lower
69,VT,Grand Isle,0,66.73,high,lower
70,LA,Jefferson Parish,6.209,45.58,high,higher
71,OK,Pawnee,0,34.12,low,lower
72,AK,higherrth Slope,0,28.41,low,lower
73,NY,Monroe,2.632,56.88,high,lower
74,WV,Greenbrier,2.845,30.9,low,lower
75,KS,Cherokee,24.778,29.68,low,higher
76,SD,Meade,3.608,36.84,low,lower
77,UT,Garfield,0,33.39,low,lower
78,CT,New London,1.122,60.97,high,lower
79,MO,Howard,9.942,29.58,low,higher
80,SC,Beaufort,2.149,48.72,high,lower
81,WV,Grant,8.609,11.95,low,higher
82,NV,Lyon,5.517,31.22,low,higher
83,CT,New Haven,1.516,59.25,high,lower
84,WA,San Juan,0,73.41,high,lower
85,WI,Grant,1.933,37.5,low,lower
86,IA,Audubon,17.95,47.19,high,higher
87,TX,Hopkins,5.482,27.1,low,higher
88,RI,Providence,3.775,53.19,high,lower
89,KY,Estill,7.03,35.09,low,higher
90,WY,Albany,10.419,42.61,high,higher
91,RI,Kent,1.831,61.97,high,lower
92,OH,Morgan,0,32.2,low,lower
93,VA,Accomack,0,43.23,high,lower
94,WV,Monroe,14.924,23.72,low,higher
95,MT,Yellowstone,6.918,34.58,low,higher
96,TN,Stewart,7.448,29.48,low,higher
97,OK,Woods,11.058,28.36,low,higher
98,MN,Marshall,10.67,39.34,low,higher
99,NM,Mora,0,49.66,high,lower
100,OR,Washington,3.902,61.67,high,lower
101,ND,Divide,0,31.49,low,lower
102,TX,Jefferson,1.573,30.67,low,lower
103,NM,McKinley,1.38,59.84,high,lower
104,AK,Kenai Peninsula,1.71,36.61,low,lower
105,MS,Harrison,7.824,29.24,low,higher
106,KY,Kenton,3.018,48.96,high,lower
107,GA,Early,9.697,33.78,low,higher
108,MD,Anne Arundel,1.225,54.94,high,lower
109,PA,Crawford,4.669,37.12,low,higher
110,SD,Mellette,0,24.48,low,lower
111,MS,Yalobusha,8.086,42.7,high,higher
112,VA,Middlesex,0,50.64,high,lower
113,MO,Cedar,14.242,23.49,low,higher
114,WI,Door,3.64,58.83,high,lower
115,MN,McLeod,5.582,45.95,high,higher
116,GA,Coffee,2.324,24.21,low,lower
117,TX,Zavala,0,35.27,low,lower
118,PA,Westmoreland,2.836,44.07,high,lower
119,IN,Huntington,5.501,40.4,high,higher
120,WY,Lincoln,0,28.48,low,lower
121,FL,Orange,9.557,49.81,high,higher
122,SD,Ziebach,0,18.02,low,lower
123,MN,Dakota,2.61,56.63,high,lower
124,PA,Tioga,4.885,31.39,low,higher
125,FL,Miami-Dade,11.113,57.05,high,higher
